,username,text
0,Ndos_Omkhulu,RT @ClixWell: Rest in peace. Msunu kanyoko.
1,zee_Res,RT @Msa_Makhaye: I wanna restart this day so De Klerk can die again  rot in hell Msunu ka nyoko! https://t.co/PnOms1xuYt
2,Angela_sibz,RT @ClixWell: Rest in peace. Msunu kanyoko.
3,Ndala_Ka_Momane,In other words.....Hamba kahle msunu ka nyoko. https://t.co/apnfUQc1EX
4,Tejandreokeyo,RT @ClixWell: Rest in peace. Msunu kanyoko.
5,Msa_Makhaye,I wanna restart this day so De Klerk can die again  rot in hell Msunu ka nyoko! https://t.co/PnOms1xuYt
6,StiggZ_,RT @ClixWell: Rest in peace. Msunu kanyoko.
7,tsheole15,@EffRonny Msunu wage
8,lamla_philani,RT @ClixWell: Rest in peace. Msunu kanyoko.
9,Dipolelo_1,RT @ClixWell: Rest in peace. Msunu kanyoko.
10,nkanyisowandile,RT @ClixWell: Rest in peace. Msunu kanyoko.
11,BrokersHate,RT @ClixWell: Rest in peace. Msunu kanyoko.
12,NkosiNRB,@TimesLIVE Voestek msunu ka Jan Van Riebeeck combined
13,Justsims3,@FACEBOO___ @Julius_S_Malema @Ori_Debig_Beats Uyanya msunu
14,BrendaM51777950,"RT @Ntsika9809: FW De Klerk, the last Apartheid President has died.
May the dog not be given a State funeral
May his remains be thrown in tâ€¦"
15,QondileKM,RT @ChrisExcel102: Msunu yenu ne chomi zenu.
16,Ke_AuthenDeep,RT @ClixWell: Rest in peace. Msunu kanyoko.
17,ForestKagiso,@sne_fortune @kimheller3 As for Msunu Ka nyoko ðŸ¤£ðŸ¤£ðŸ¤£
18,NdumeeHugs,Ufe kancane. Msunu we separate development https://t.co/NKvTU2bRuj
19,Kandi_Krush,RT @ClixWell: Rest in peace. Msunu kanyoko.
20,NkosiNRB,@TsiripaM @uMaster_Sandz @tumisole @Julius_S_Malema Voestek  msunu ka Jan Van Riebeeck combined
21,MathewPetha,RT @MaloyiIsaac: Covid deaths are increasing and lockdown will be implemented and we as the EFF supporters will be irritated by those who wâ€¦
22,Mfundo_Ngomane6,RT @ClixWell: Rest in peace. Msunu kanyoko.
23,BongoX7,@NdinguYaya @ferb_dee Even better nzokupetshela amaviri msunu
24,Kanimols,RT @ClixWell: Rest in peace. Msunu kanyoko.
25,Msunu_wabelungu,RT @EFFSouthAfrica: EFF Statement On The Death Of Apartheid President F.W De Klerk https://t.co/SgWBEXLriy
26,si_sitholee,"I'm happy that old racist is dead.

Come at me with your two cents of "" clever blacks "" 
Otlo nyela msunu wenja"
27,Mr___Vilane_S,RT @ClixWell: Rest in peace. Msunu kanyoko.
28,dungamzi,RT @ClixWell: Rest in peace. Msunu kanyoko.
29,McgOnismus,RT @ClixWell: Rest in peace. Msunu kanyoko.
30,Nhlanzeko_k,RT @ClixWell: Rest in peace. Msunu kanyoko.
31,SelekaThuli,RT @ClixWell: Rest in peace. Msunu kanyoko.
32,Sweden_Mags,RT @ClixWell: Rest in peace. Msunu kanyoko.
33,_marksandiso,RT @ClixWell: Rest in peace. Msunu kanyoko.
34,Cosmo982,RT @ClixWell: Rest in peace. Msunu kanyoko.
35,Max_SMMO,RT @ClixWell: Rest in peace. Msunu kanyoko.
36,realmageba20,RT @ClixWell: Rest in peace. Msunu kanyoko.
37,ASofaya,RT @ClixWell: Rest in peace. Msunu kanyoko.
38,Buyanin_,RT @ClixWell: Rest in peace. Msunu kanyoko.
39,mbungupule,RT @ClixWell: Rest in peace. Msunu kanyoko.
40,21tumtum,RT @ClixWell: Rest in peace. Msunu kanyoko.
41,yon_sokomani,RT @ClixWell: Rest in peace. Msunu kanyoko.
42,Fat_Girl_Slay,RT @ClixWell: Rest in peace. Msunu kanyoko.
43,Jali_Heir,RT @ClixWell: Rest in peace. Msunu kanyoko.
44,stevieG_88,RT @ClixWell: Rest in peace. Msunu kanyoko.
45,ForgodU,RT @MaloyiIsaac: Covid deaths are increasing and lockdown will be implemented and we as the EFF supporters will be irritated by those who wâ€¦
46,Stability56105,RT @ClixWell: Rest in peace. Msunu kanyoko.
47,batman0843,RT @ClixWell: Rest in peace. Msunu kanyoko.
48,ndu_34184,RT @ClixWell: Rest in peace. Msunu kanyoko.
49,sgagu_1991,RT @ClixWell: Rest in peace. Msunu kanyoko.
